Gut (2012), Drama| Horror| Thriller,26-Oct-12,USA,,3.9,91 min,English,,"Directed by Elias. With Jason Vail, Nicholas Wilder, Sarah Schoofs, Kirstianna Mueller. Family man Tom has seen something he can't forget, a mysterious video with an ugly secret that soon spreads into his daily life and threatens to dismantle everything around him."
The Haunting of Mia Moss (2017), Horror,13-Jan-17,USA,,,,English,"$30,000 ","Directed by Jake Zelch. With Nicola Fiore, Brinke Stevens, Curtis Carnahan, Jake Zelch."
Sleepwalking (2017), Horror,21-Oct-17,Canada,,,,English,,"Directed by David Briggs. With Alysia Topol, Anthony Makela, Kelsi Ashley, Patrick J. Carew."
Treasure Chest of Horrors II (2013), Comedy| Horror| Thriller,23-Apr-13,USA,NOT RATED,3.7,82 min,English,,"Directed by M. Kelley, Shawn C. Phillips, Alex Powers. With Veronica Ricci, Nicholas Adam Clark, James Cullen Bressack, Nick Waugh. Mona Screamalot, along with her crazy family, prepares you for six short horror films from deep within her trashy treasure chest. This anthology features party killers, giant killer babies, an angry murderous child, a bacterial infection like no other, a murderous cross dresser,a killer in the woods, and Satan. Oh yeah, don't forget the buckets of blood."
Infidus (2015), Crime| Drama| Horror,10-Apr-15,USA,,5.8,80 min,Italian,,"Directed by Giulio De Santi. With Bonini Mino, Massimo Caratelli, Maurizio Zaffino, Stefania Bonini. In the suburbs of Rome, two disparate lives with only desire for vengeance and redemption in common find their destinies intertwined. Massimo's mind is plagued with images of his wife's violent death at the hands of a criminal gang involved in the production of snuff films. With every memory of the woman he loved replaced by unforgettable images of her horrific final moments, Massimo sees only ..."
In Extremis (2017), Horror| Thriller,2017,UK,,,93 min,English,"$3,400,000 ","Directed by Steve Stone. With David O'Hara, Isabelle Allen, Neil Pearson, Toyah Willcox. It's the end of the world - at least their world."
Ghostlight (2013), Drama| Horror| Thriller,3-Jun-14,USA,NOT RATED,5.1,90 min,English,,"Directed by Jeff Ferrell. With Eden Campbell, Lisa Coronado, David A. Crellin, Jeff Ferrell. Andrew wins a radio contest to spend one night alone in a haunted theater on the 80th anniversary of the bloody murder/suicide that occurred within its walls. His prize: $50,000. His task: To spend 12 hours alone inside. The catch: The theater has been reportedly haunted ever since the tragedy 80 years ago, and has been plagued by a series of mysterious deaths in the years since. As Andrew is ..."
Parasyte: Part 2 (2015), Action| Drama| Horror| Sci-Fi,25-Apr-15,Japan,,6.5,117 min,Japanese,,"Directed by Takashi Yamazaki. With Shôta Sometani, Eri Fukatsu, Ai Hashimoto, Sadao Abe. Humanity is under attack by human-mimicking flesh-eating alien parasites. One parasite bonds with his young high school student host, and he convinces the parasite to help him stop the others."
Stranger in the House (2015), Horror| Mystery| Thriller,28-May-17,Spain,PG-13,4.6,90 min,English,,"Directed by Devon Gummersall. With Annabella Sciorra, Tammy Blanchard, Nathan Darrow, Dennis Boutsikaris. Eve has married the man of her dreams but when they return to live in the house willed to him by his first wife who died under horrific circumstances, it becomes a waking nightmare as Eve falls into a spiral of suspicion and madness."
Tutak Tutak Tutiya (2016), Comedy| Horror,7-Oct-16,India,,5.4,138 min,Hindi,,"Directed by Vijay. With Tamannaah Bhatia, Karishma Gulati, Esha Gupta, Amy Jackson. The Hindi version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. The Telugu version is Abhinetri (2016) and the Tamil version is Devi(L) (2016)"
The Strange House (2015), Horror,24-Jul-15,China,,5.3,87 min,Mandarin,,"Directed by Danny Pang. With Siu-Fai Cheung, Yi Song, Zitian Tian, Jiao Xu. A young girl pretending to be the deceased granddaughter of an ailing grandmother begins experiencing horrific visions of the dead granddaughter, causing her to slowly succumb to the insanity of illusion and reality merging."
Rise of the Animals (2011), Adventure| Comedy| Horror,1-May-12,USA,NOT RATED,3.6,70 min,English,"$7,000 ","Directed by Chris Wojcik. With Greg Hoople, Stephanie Motta, Adam Schonberg, Nikki Preston. In a world where animals have turned on humanity, a teen travels across the country in search of the girl of his dreams."
When Death Calls (2012), Horror,28-Apr-12,USA,,5.9,91 min,English,,"Directed by Jim Haggerty. With Suzi Lorraine, Tina Krause, Nathalie Bryant, Jae Mosc. Disc jockey Roxy Richards encourages her listeners to call in and share scary stories during a live broadcast on Halloween night: A psycho stalks an elementary school teacher, an adulterous one night stand goes horrifically awry, a young couple who decide to stay in find themselves in great danger, an engaged woman gets terrorized by a predatory monster that lives in the basement of her ..."
Dark Medicine (2013), Horror| Sci-Fi,2013,USA,NOT RATED,2.8,72 min,English,,"Directed by Tariq Nasheed. With Ola Akinroluyo, Byron Baudo, Josh Bednarsky, Emily Brooks. A middle school in a small college town was recently shut down because of mysterious toxins found on the premise. These toxins were cause by a secret eugenics program gone wrong. Tonight, a group of college friends discover the abandoned school, and decide to explore it just for fun. Once inside, they soon realize that that school is not so abandoned."
